"Polnoletni storilci zoper katere je bil kazenski postopek pri državnem tožilstvu konèan po kaznivem dejanju, spolu, starosti ob storitvi kaznivega dejanja in vrsti odloèbe, Slovenija, letno"

"KAZNIVO DEJANJE";"VRSTA ODLOÈBE";"Moški Starost - SKUPAJ 2013";"Moški Starost - SKUPAJ 2014";"Moški Starost - SKUPAJ 2015";"Moški Starost - SKUPAJ 2016";"Moški Starost - SKUPAJ 2017";"Moški Starost - SKUPAJ 2018";"Moški Starost - SKUPAJ 2019";"Moški Starost - SKUPAJ 2020";"Moški do 20 let 2013";"Moški do 20 let 2014";"Moški do 20 let 2015";"Moški do 20 let 2016";"Moški do 20 let 2017";"Moški do 20 let 2018";"Moški do 20 let 2019";"Moški do 20 let 2020";"Moški od 21 do 30 let 2013";"Moški od 21 do 30 let 2014";"Moški od 21 do 30 let 2015";"Moški od 21 do 30 let 2016";"Moški od 21 do 30 let 2017";"Moški od 21 do 30 let 2018";"Moški od 21 do 30 let 2019";"Moški od 21 do 30 let 2020";"Moški od 31 do 40 let 2013";"Moški od 31 do 40 let 2014";"Moški od 31 do 40 let 2015";"Moški od 31 do 40 let 2016";"Moški od 31 do 40 let 2017";"Moški od 31 do 40 let 2018";"Moški od 31 do 40 let 2019";"Moški od 31 do 40 let 2020";"Moški od 41 do 50 let 2013";"Moški od 41 do 50 let 2014";"Moški od 41 do 50 let 2015";"Moški od 41 do 50 let 2016";"Moški od 41 do 50 let 2017";"Moški od 41 do 50 let 2018";"Moški od 41 do 50 let 2019";"Moški od 41 do 50 let 2020";"Moški od 51 do 60 let 2013";"Moški od 51 do 60 let 2014";"Moški od 51 do 60 let 2015";"Moški od 51 do 60 let 2016";"Moški od 51 do 60 let 2017";"Moški od 51 do 60 let 2018";"Moški od 51 do 60 let 2019";"Moški od 51 do 60 let 2020";"Moški nad 60 let 2013";"Moški nad 60 let 2014";"Moški nad 60 let 2015";"Moški nad 60 let 2016";"Moški nad 60 let 2017";"Moški nad 60 let 2018";"Moški nad 60 let 2019";"Moški nad 60 let 2020";"Ženske Starost - SKUPAJ 2013";"Ženske Starost - SKUPAJ 2014";"Ženske Starost - SKUPAJ 2015";"Ženske Starost - SKUPAJ 2016";"Ženske Starost - SKUPAJ 2017";"Ženske Starost - SKUPAJ 2018";"Ženske Starost - SKUPAJ 2019";"Ženske Starost - SKUPAJ 2020";"Ženske do 20 let 2013";"Ženske do 20 let 2014";"Ženske do 20 let 2015";"Ženske do 20 let 2016";"Ženske do 20 let 2017";"Ženske do 20 let 2018";"Ženske do 20 let 2019";"Ženske do 20 let 2020";"Ženske od 21 do 30 let 2013";"Ženske od 21 do 30 let 2014";"Ženske od 21 do 30 let 2015";"Ženske od 21 do 30 let 2016";"Ženske od 21 do 30 let 2017";"Ženske od 21 do 30 let 2018";"Ženske od 21 do 30 let 2019";"Ženske od 21 do 30 let 2020";"Ženske od 31 do 40 let 2013";"Ženske od 31 do 40 let 2014";"Ženske od 31 do 40 let 2015";"Ženske od 31 do 40 let 2016";"Ženske od 31 do 40 let 2017";"Ženske od 31 do 40 let 2018";"Ženske od 31 do 40 let 2019";"Ženske od 31 do 40 let 2020";"Ženske od 41 do 50 let 2013";"Ženske od 41 do 50 let 2014";"Ženske od 41 do 50 let 2015";"Ženske od 41 do 50 let 2016";"Ženske od 41 do 50 let 2017";"Ženske od 41 do 50 let 2018";"Ženske od 41 do 50 let 2019";"Ženske od 41 do 50 let 2020";"Ženske od 51 do 60 let 2013";"Ženske od 51 do 60 let 2014";"Ženske od 51 do 60 let 2015";"Ženske od 51 do 60 let 2016";"Ženske od 51 do 60 let 2017";"Ženske od 51 do 60 let 2018";"Ženske od 51 do 60 let 2019";"Ženske od 51 do 60 let 2020";"Ženske nad 60 let 2013";"Ženske nad 60 let 2014";"Ženske nad 60 let 2015";"Ženske nad 60 let 2016";"Ženske nad 60 let 2017";"Ženske nad 60 let 2018";"Ženske nad 60 let 2019";"Ženske nad 60 let 2020"
"1.XV.130000 detomor";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.133 lahka telesna poškodba";"Odloèba tožilstva - SKUPAJ";5;2;-;-;1;-;-;6;0;-;-;-;-;-;-;4;1;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;3;1;-;-;1;-;-;1;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"1.XV.133010 lahka telesna poškodba - od. 1";"Odloèba tožilstva - SKUPAJ";3;-;-;-;1;-;-;5;0;-;-;-;-;-;-;4;1;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"1.XV.133021 lahka telesna poškodba - od. 2 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";2;2;-;-;-;-;-;1;0;-;-;-;-;-;-;-;0;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"1.XV.134 huda telesna poškodba";"Odloèba tožilstva - SKUPAJ";2;3;-;-;-;-;-;1;0;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;0;1;-;-;-;-;-;-;0;1;-;-;-;-;-;-;0;1;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"1.XV.134010 huda telesna poškodba - od. 1";"Odloèba tožilstva - SKUPAJ";2;2;-;-;-;-;-;1;0;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;1;-;-;-;-;-;-;0;1;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"1.XV.134031 huda telesna poškodba - od. 3 v zvezi z od 1";"Odloèba tožilstva - SKUPAJ";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.135 posebno huda telesna poškodba";"Odloèba tožilstva - SKUPAJ";-;-;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-
"1.XV.135010 posebno huda telesna poškodba - od. 1";"Odloèba tožilstva - SKUPAJ";-;-;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-
"1.XV.137 ogrožanje z nevarnim orodjem pri pretepu ali prepiru";"Odloèba tožilstva - SKUPAJ";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.137010 ogrožanje z nevarnim orodjem pri pretepu ali prepiru - od. 1";"Odloèba tožilstva - SKUPAJ";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.139 zapustitev slabotne osebe";"Odloèba tožilstva - SKUPAJ";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.139000 zapustitev slabotne osebe";"Odloèba tožilstva - SKUPAJ";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"1.XVI KAZNIVA DEJANJA ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE";"Odloèba tožilstva - SKUPAJ";9;7;1;1;1;5;1;2;1;-;-;-;-;1;-;-;1;-;1;-;-;1;-;2;5;2;-;-;1;1;-;-;1;4;-;1;-;-;1;-;1;-;-;-;-;1;-;-;0;1;-;-;-;1;-;-;0;3;-;-;2;-;-;1;0;-;-;-;1;-;-;-;0;-;-;-;-;-;-;1;0;3;-;-;1;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"1.XVI.141 kršitev enakopravnosti";"Odloèba tožilstva - SKUPAJ";-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"1.XVI.141010 kršitev enakopravnosti - od. 1";"Odloèba tožilstva - SKUPAJ";-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"1.XVI.141031 kršitev enakopravnosti - od. 3 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"1.XVI.142 prisiljenje";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"1.XVI.142010 prisiljenje - od. 1";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"1.XVI.143 protipraven odvzem prostosti";"Odloèba tožilstva - SKUPAJ";6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"1.XVI.143021 protipraven odvzem prostosti - od. 2 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"1.XVI.144 ugrabitev";"Odloèba tožilstva - SKUPAJ";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"1.XVI.144021 ugrabitev - od. 2 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
