"Polnoletni storilci zoper katere je bil kazenski postopek pri državnem tožilstvu konèan po kaznivem dejanju, spolu, starosti ob storitvi kaznivega dejanja in vrsti odloèbe, Slovenija, letno"

"KAZNIVO DEJANJE";"VRSTA ODLOÈBE";"Moški Starost - SKUPAJ 2013";"Moški Starost - SKUPAJ 2014";"Moški Starost - SKUPAJ 2015";"Moški Starost - SKUPAJ 2016";"Moški Starost - SKUPAJ 2017";"Moški Starost - SKUPAJ 2018";"Moški Starost - SKUPAJ 2019";"Moški Starost - SKUPAJ 2020";"Moški do 20 let 2013";"Moški do 20 let 2014";"Moški do 20 let 2015";"Moški do 20 let 2016";"Moški do 20 let 2017";"Moški do 20 let 2018";"Moški do 20 let 2019";"Moški do 20 let 2020";"Moški od 21 do 30 let 2013";"Moški od 21 do 30 let 2014";"Moški od 21 do 30 let 2015";"Moški od 21 do 30 let 2016";"Moški od 21 do 30 let 2017";"Moški od 21 do 30 let 2018";"Moški od 21 do 30 let 2019";"Moški od 21 do 30 let 2020";"Moški od 31 do 40 let 2013";"Moški od 31 do 40 let 2014";"Moški od 31 do 40 let 2015";"Moški od 31 do 40 let 2016";"Moški od 31 do 40 let 2017";"Moški od 31 do 40 let 2018";"Moški od 31 do 40 let 2019";"Moški od 31 do 40 let 2020";"Moški od 41 do 50 let 2013";"Moški od 41 do 50 let 2014";"Moški od 41 do 50 let 2015";"Moški od 41 do 50 let 2016";"Moški od 41 do 50 let 2017";"Moški od 41 do 50 let 2018";"Moški od 41 do 50 let 2019";"Moški od 41 do 50 let 2020";"Moški od 51 do 60 let 2013";"Moški od 51 do 60 let 2014";"Moški od 51 do 60 let 2015";"Moški od 51 do 60 let 2016";"Moški od 51 do 60 let 2017";"Moški od 51 do 60 let 2018";"Moški od 51 do 60 let 2019";"Moški od 51 do 60 let 2020";"Moški nad 60 let 2013";"Moški nad 60 let 2014";"Moški nad 60 let 2015";"Moški nad 60 let 2016";"Moški nad 60 let 2017";"Moški nad 60 let 2018";"Moški nad 60 let 2019";"Moški nad 60 let 2020";"Ženske Starost - SKUPAJ 2013";"Ženske Starost - SKUPAJ 2014";"Ženske Starost - SKUPAJ 2015";"Ženske Starost - SKUPAJ 2016";"Ženske Starost - SKUPAJ 2017";"Ženske Starost - SKUPAJ 2018";"Ženske Starost - SKUPAJ 2019";"Ženske Starost - SKUPAJ 2020";"Ženske do 20 let 2013";"Ženske do 20 let 2014";"Ženske do 20 let 2015";"Ženske do 20 let 2016";"Ženske do 20 let 2017";"Ženske do 20 let 2018";"Ženske do 20 let 2019";"Ženske do 20 let 2020";"Ženske od 21 do 30 let 2013";"Ženske od 21 do 30 let 2014";"Ženske od 21 do 30 let 2015";"Ženske od 21 do 30 let 2016";"Ženske od 21 do 30 let 2017";"Ženske od 21 do 30 let 2018";"Ženske od 21 do 30 let 2019";"Ženske od 21 do 30 let 2020";"Ženske od 31 do 40 let 2013";"Ženske od 31 do 40 let 2014";"Ženske od 31 do 40 let 2015";"Ženske od 31 do 40 let 2016";"Ženske od 31 do 40 let 2017";"Ženske od 31 do 40 let 2018";"Ženske od 31 do 40 let 2019";"Ženske od 31 do 40 let 2020";"Ženske od 41 do 50 let 2013";"Ženske od 41 do 50 let 2014";"Ženske od 41 do 50 let 2015";"Ženske od 41 do 50 let 2016";"Ženske od 41 do 50 let 2017";"Ženske od 41 do 50 let 2018";"Ženske od 41 do 50 let 2019";"Ženske od 41 do 50 let 2020";"Ženske od 51 do 60 let 2013";"Ženske od 51 do 60 let 2014";"Ženske od 51 do 60 let 2015";"Ženske od 51 do 60 let 2016";"Ženske od 51 do 60 let 2017";"Ženske od 51 do 60 let 2018";"Ženske od 51 do 60 let 2019";"Ženske od 51 do 60 let 2020";"Ženske nad 60 let 2013";"Ženske nad 60 let 2014";"Ženske nad 60 let 2015";"Ženske nad 60 let 2016";"Ženske nad 60 let 2017";"Ženske nad 60 let 2018";"Ženske nad 60 let 2019";"Ženske nad 60 let 2020"
"2. KAZENSKI ZAKON SRS";"Odloèba tožilstva - SKUPAJ";14;2;9;11;6;4;7;7;0;-;3;-;1;-;1;-;4;1;3;3;1;2;-;2;2;1;2;6;1;-;4;4;5;-;-;1;3;-;-;-;2;-;1;1;-;2;-;-;1;-;-;-;-;-;2;1;3;1;6;-;1;-;2;1;0;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;1;1;2;-;1;-;1;-;1;-;1;-;-;-;1;-;0;-;-;-;-;-;-;-;0;-;1;-;-;-;-;-
"4. KAZENSKI ZAKONIK (KZ-1)";"Odloèba tožilstva - SKUPAJ";20798;21759;24882;22986;25967;22454;22158;21830;1408;1415;1579;1495;1734;1328;1185;1075;5825;5777;5997;5369;5906;4848;4805;4778;5650;6295;7238;6692;7545;6494;6508;6465;4113;4294;5118;4708;5371;4747;4824;4964;2503;2609;3232;3032;3319;2981;2888;2707;1299;1369;1718;1690;2092;2056;1948;1841;5426;5611;6675;6266;6626;5909;5875;5654;290;268;314;305;374;308;300;250;1168;1290;1335;1239;1246;1184;1163;1015;1474;1528;1844;1752;1860;1521;1589;1604;1172;1167;1470;1411;1421;1305;1322;1298;799;855;999;916;1026;884;822;816;523;503;713;643;699;707;679;671
"4.XIV KAZNIVA DEJANJA ZOPER ÈLOVEÈNOST";"Odloèba tožilstva - SKUPAJ";6;20;65;45;58;23;18;24;0;-;-;1;6;-;1;1;2;8;17;12;15;6;3;6;2;2;15;10;18;9;6;9;2;7;20;11;7;3;5;6;0;2;12;9;6;3;1;-;0;1;1;2;6;2;2;2;5;8;36;14;13;11;5;4;0;-;1;1;-;1;1;-;3;2;7;3;4;3;1;-;1;1;15;9;7;3;2;-;0;3;12;-;2;2;-;3;0;2;-;-;-;2;1;-;1;-;1;1;-;-;-;1
"4.XIV.100 genocid";"Odloèba tožilstva - SKUPAJ";1;2;3;-;-;-;-;1;0;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;0;-;2;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;1;-;-;-;-;-;0;1;-;-;-;-;-;1;0;1;-;-;-;1;-;-;0;-;-;-;-;-;-;-;0;1;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;1;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"4.XIV.100010 genocid - od. 1";"Odloèba tožilstva - SKUPAJ";1;2;3;-;-;-;-;1;0;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;0;-;2;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;1;-;-;-;-;-;0;1;-;-;-;-;-;1;0;1;-;-;-;1;-;-;0;-;-;-;-;-;-;-;0;1;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;1;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"4.XIV.101 hudodelstva zoper èloveènost";"Odloèba tožilstva - SKUPAJ";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XIV.101000 hudodelstva zoper èloveènost";"Odloèba tožilstva - SKUPAJ";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XIV.102 vojna hudodelstva";"Odloèba tožilstva - SKUPAJ";-;-;-;-;5;-;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XIV.102001 vojna hudodelstva - tè. 1";"Odloèba tožilstva - SKUPAJ";-;-;-;-;5;-;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XIV.108 terorizem";"Odloèba tožilstva - SKUPAJ";-;1;2;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XIV.108010 terorizem - od. 1";"Odloèba tožilstva - SKUPAJ";-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XIV.108021 terorizem - od. 2 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XIV.110 šèuvanje in javno povelièevanje teroristiènih dejanj";"Odloèba tožilstva - SKUPAJ";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XIV.110021 šèuvanje in javno povelièevanje teroristiènih dejanj - od. 2 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XIV.112 spravljanje v suženjsko razmerje";"Odloèba tožilstva - SKUPAJ";1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-
"4.XIV.112010 spravljanje v suženjsko razmerje - od. 1";"Odloèba tožilstva - SKUPAJ";1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-
"4.XIV.113 trgovina z ljudmi";"Odloèba tožilstva - SKUPAJ";4;17;60;43;51;22;18;22;0;-;-;1;3;-;1;1;1;6;15;11;14;5;3;5;2;2;13;9;16;9;6;9;1;7;20;11;7;3;5;6;0;2;11;9;5;3;1;-;0;-;1;2;6;2;2;1;4;7;36;14;13;4;5;4;0;-;1;1;-;-;1;-;3;1;7;3;4;1;1;-;1;1;15;9;7;1;2;-;0;3;12;-;2;-;-;3;0;2;-;-;-;2;1;-;0;-;1;1;-;-;-;1
"4.XIV.113010 trgovina z ljudmi - od. 1";"Odloèba tožilstva - SKUPAJ";2;6;7;22;22;-;4;2;0;-;-;-;1;-;-;-;1;1;1;5;7;-;-;-;1;1;1;6;7;-;2;-;0;3;3;4;3;-;-;2;0;1;2;7;2;-;1;-;0;-;-;-;2;-;1;-;2;3;4;5;3;1;2;-;0;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;2;4;1;1;1;-;0;1;1;-;1;-;-;-;0;2;-;-;-;-;1;-;0;-;1;1;-;-;-;-
"4.XIV.113021 trgovina z ljudmi - od. 2 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";2;7;18;17;23;8;11;9;0;-;-;1;1;-;-;-;0;4;1;4;6;1;3;-;1;-;4;3;9;1;4;7;1;3;12;5;3;3;3;2;0;-;1;2;2;3;-;-;0;-;-;2;2;-;1;-;2;3;18;9;7;3;3;-;0;-;1;1;-;-;1;-;2;1;6;3;2;1;1;-;0;-;9;5;5;-;1;-;0;2;2;-;-;-;-;-;0;-;-;-;-;2;-;-;0;-;-;-;-;-;-;-
"4.XIV.113032 trgovina z ljudmi - od. 3 v zvezi z od. 2";"Odloèba tožilstva - SKUPAJ";-;4;35;4;5;14;2;10;-;-;-;-;1;-;1;1;-;1;13;2;-;4;-;5;-;1;8;-;-;8;-;2;-;1;5;2;1;-;1;1;-;1;8;-;1;-;-;-;-;-;1;-;2;2;-;1;-;1;14;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;4;-;1;-;-;-;-;-;9;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XIV.113051 trgovina z ljudmi - od. 5 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XIV.113052 trgovina z ljudmi - od. 5 v zvezi z od. 2";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"4.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO";"Odloèba tožilstva - SKUPAJ";1615;1417;1514;1442;1481;1252;1450;1424;142;126;108;115;109;79;103;76;515;444;420;402;407;330;353;322;364;353;422;376;411;300;372;393;275;249;254;253;225;239;281;301;200;146;200;179;171;173;183;176;119;99;110;117;158;131;158;156;207;189;200;168;199;201;198;210;13;13;18;15;11;10;18;18;42;51;46;31;40;43;32;34;54;45;49;48;45;44;57;56;46;36;37;33;42;47;43;47;27;28;31;21;33;32;24;24;25;16;19;20;28;25;24;31
"4.XV.115 uboj";"Odloèba tožilstva - SKUPAJ";21;13;31;39;39;37;16;30;1;2;1;5;1;2;7;-;6;5;10;8;12;10;3;4;3;2;5;8;8;9;3;11;7;2;10;5;5;4;3;6;2;-;5;11;10;7;-;4;2;2;-;2;3;5;-;5;1;5;3;4;4;8;2;4;0;-;-;-;-;-;-;-;0;1;-;-;2;3;-;2;0;-;-;2;2;3;2;1;0;2;2;1;-;2;-;-;0;1;1;1;-;-;-;1;1;1;-;-;-;-;-;-
"4.XV.115010 uboj - od. 1";"Odloèba tožilstva - SKUPAJ";21;13;31;39;37;37;16;27;1;2;1;5;1;2;7;-;6;5;10;8;12;10;3;3;3;2;5;8;8;9;3;11;7;2;10;5;4;4;3;4;2;-;5;11;9;7;-;4;2;2;-;2;3;5;-;5;1;5;3;4;4;8;2;4;0;-;-;-;-;-;-;-;0;1;-;-;2;3;-;2;0;-;-;2;2;3;2;1;0;2;2;1;-;2;-;-;0;1;1;1;-;-;-;1;1;1;-;-;-;-;-;-
"4.XV.115021 uboj - od. 2 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.116 umor";"Odloèba tožilstva - SKUPAJ";8;19;23;28;42;22;14;18;1;1;1;3;2;-;-;-;1;6;4;5;11;1;6;4;3;4;7;5;13;3;4;7;0;3;8;9;6;1;2;4;1;5;2;2;4;6;1;3;2;-;1;4;6;11;1;-;4;1;4;3;4;3;-;2;0;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;2;-;2;0;-;1;1;2;-;-;-;2;-;-;1;1;1;-;-;0;-;2;-;-;-;-;-
"4.XV.116001 umor - tè. 1";"Odloèba tožilstva - SKUPAJ";5;10;9;10;28;11;10;15;1;1;1;-;2;-;-;-;1;4;3;-;9;-;5;3;2;3;2;3;10;-;2;5;0;2;1;4;4;1;1;4;0;-;1;-;1;4;1;3;1;-;1;3;2;6;1;-;4;1;4;2;4;2;-;2;0;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;2;-;2;0;-;1;1;2;-;-;-;2;-;-;1;1;-;-;-;0;-;2;-;-;-;-;-
"4.XV.116002 umor - tè. 2";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.116004 umor - tè. 4";"Odloèba tožilstva - SKUPAJ";3;9;14;18;14;10;4;3;0;-;-;3;-;-;-;-;0;2;1;5;2;1;1;1;1;1;5;2;3;3;2;2;0;1;7;5;2;-;1;-;1;5;1;2;3;1;-;-;1;-;-;1;4;5;-;-;0;-;-;1;-;1;-;-;0;-;-;1;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;1;-;-;0;-;-;-;-;-;-;-
"4.XV.117 uboj na mah";"Odloèba tožilstva - SKUPAJ";-;2;3;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-
"4.XV.117000 uboj na mah";"Odloèba tožilstva - SKUPAJ";-;2;3;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-
"4.XV.118 povzroèitev smrti iz malomarnosti";"Odloèba tožilstva - SKUPAJ";5;5;23;6;8;6;8;14;0;-;-;-;-;-;-;-;0;2;3;-;3;1;1;1;2;1;11;4;2;-;1;5;2;2;3;1;1;4;4;6;0;-;5;1;1;1;2;-;1;-;1;-;1;-;-;2;1;5;2;1;2;7;-;5;0;-;-;-;-;-;-;-;0;-;-;-;2;2;-;1;0;3;1;-;-;5;-;2;0;1;1;1;-;-;-;-;1;1;-;-;-;-;-;-;0;-;-;-;-;-;-;2
"4.XV.118000 povzroèitev smrti iz malomarnosti";"Odloèba tožilstva - SKUPAJ";5;5;23;6;8;6;8;14;0;-;-;-;-;-;-;-;0;2;3;-;3;1;1;1;2;1;11;4;2;-;1;5;2;2;3;1;1;4;4;6;0;-;5;1;1;1;2;-;1;-;1;-;1;-;-;2;1;5;2;1;2;7;-;5;0;-;-;-;-;-;-;-;0;-;-;-;2;2;-;1;0;3;1;-;-;5;-;2;0;1;1;1;-;-;-;-;1;1;-;-;-;-;-;-;0;-;-;-;-;-;-;2
"4.XV.119 detomor";"Odloèba tožilstva - SKUPAJ";0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;0;-;-;-;-;-;-;-;0;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;1;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"4.XV.119000 detomor";"Odloèba tožilstva - SKUPAJ";0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;0;-;-;-;-;-;-;-;0;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;1;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"4.XV.120 napeljevanje k samomoru in pomoè pri samomoru";"Odloèba tožilstva - SKUPAJ";-;1;1;-;1;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-
"4.XV.120010 napeljevanje k samomoru in pomoè pri samomoru - od. 1";"Odloèba tožilstva - SKUPAJ";-;1;-;-;-;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.120040 napeljevanje k samomoru in pomoè pri samomoru - od. 4";"Odloèba tožilstva - SKUPAJ";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-
"4.XV.121 nedovoljen poseg v noseènost";"Odloèba tožilstva - SKUPAJ";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.121010 nedovoljen poseg v noseènost - od. 1";"Odloèba tožilstva - SKUPAJ";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.121030 nedovoljen poseg v noseènost - od. 3";"Odloèba tožilstva - SKUPAJ";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.122 lahka telesna poškodba";"Odloèba tožilstva - SKUPAJ";1374;1094;1151;1119;1133;937;1173;1108;127;93;86;85;75;59;70;58;421;334;321;308;300;245;268;251;313;278;306;293;328;232;305;303;240;201;199;196;174;182;239;232;174;111;156;142;131;123;159;147;99;77;83;95;125;96;132;117;182;155;166;130;156;155;176;176;13;11;16;12;10;10;18;18;36;46;39;24;30;32;31;29;47;35;43;35;39;28;53;45;41;27;28;26;30;39;36;40;22;22;26;16;26;27;21;19;23;14;14;17;21;19;17;25
"4.XV.122010 lahka telesna poškodba - od. 1";"Odloèba tožilstva - SKUPAJ";1120;860;909;877;886;771;966;884;98;68;58;65;55;51;56;44;354;261;250;234;241;197;228;200;256;225;255;237;274;192;248;237;199;168;157;161;138;156;205;196;141;88;124;115;97;99;132;116;72;50;65;65;81;76;97;91;142;119;133;90;115;119;135;122;8;9;13;5;9;4;11;16;32;34;31;18;19;22;23;21;35;32;32;26;29;23;42;27;36;22;26;18;25;32;30;25;15;13;21;13;20;20;16;16;16;9;10;10;13;18;13;17
