"Izbrani podatki po obèinah, Slovenija, letno"

"MERITVE";"OBÈINE";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Radlje ob Dravi";707.16;726.42;814.47;846.20;854.94;875.68;898.18;911.91;930.63;972.19;1000.03;1029.07;1102.18;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Radovljica";814.94;837.52;896.13;896.85;903.23;901.79;907.69;921.70;946.97;979.08;1009.24;1044.05;1101.16;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ravne na Koroškem";851.97;877.40;929.76;972.27;984.89;991.59;1003.76;1031.78;1058.49;1092.96;1117.60;1137.86;1202.01;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Razkrižje";843.60;869.38;868.57;872.74;825.40;830.72;896.70;921.59;931.80;939.44;988.44;1088.55;1119.89;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Reèica ob Savinji";601.89;652.31;701.12;726.46;726.43;733.98;724.01;731.26;758.66;783.52;773.56;841.25;917.54;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Renèe - Vogrsko";807.29;804.55;868.22;868.43;870.05;842.73;874.71;882.13;868.70;896.81;947.44;992.46;1027.86;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ribnica";785.51;814.50;858.93;878.57;906.56;920.96;932.25;943.64;960.28;996.06;1028.13;1062.99;1119.16;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ribnica na Pohorju";822.01;823.09;836.42;846.97;817.52;874.15;870.41;850.12;899.15;919.82;905.69;979.82;1061.32;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Rogaška Slatina";694.78;736.22;764.96;798.12;801.89;815.84;834.51;844.62;854.29;889.17;915.04;943.58;996.33;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Rogašovci";812.90;832.00;852.17;869.99;892.08;888.45;860.02;844.12;844.93;866.28;889.16;934.13;1004.61;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Rogatec";697.66;728.47;785.86;781.92;772.60;777.66;766.00;783.06;800.68;828.67;853.12;910.84;996.14;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ruše";868.00;895.15;939.10;987.40;998.34;1018.62;1057.75;1093.51;1121.83;1159.77;1194.58;1226.84;1280.47;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Selnica ob Dravi";845.08;880.85;892.73;915.26;906.03;902.51;829.92;827.68;865.22;880.90;914.28;930.37;994.74;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Semiè";699.38;708.90;786.46;846.37;818.62;793.73;800.47;852.45;840.82;853.68;880.53;897.98;966.10;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Sevnica";765.46;783.41;813.15;854.11;851.72;864.69;878.35;888.27;907.39;944.10;973.14;1007.98;1090.22;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Sežana";878.94;897.32;922.75;941.43;933.72;923.56;934.48;929.81;957.46;984.87;1013.46;1041.89;1095.97;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Slovenj Gradec";805.75;848.91;900.39;932.61;934.72;934.02;941.92;952.22;971.76;1000.00;1022.12;1054.35;1143.66;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Slovenska Bistrica";846.49;856.83;916.48;930.33;937.91;962.09;955.40;954.80;973.84;1016.54;1043.50;1068.94;1126.29;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Slovenske Konjice";762.58;778.92;838.20;838.04;838.33;857.52;873.43;879.94;899.09;922.92;952.30;976.15;1038.01;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Sodražica";823.07;860.98;889.19;902.18;892.90;882.35;892.07;877.57;883.07;924.86;922.03;1000.17;1087.89;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Solèava";817.74;795.42;840.70;843.30;975.46;918.04;900.45;921.60;917.95;930.91;966.56;1004.70;1015.70;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Središèe ob Dravi";897.09;1014.39;1038.83;1046.60;977.57;997.27;984.87;985.22;1001.53;976.17;1021.42;1102.35;1212.73;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Starše";814.71;780.48;729.86;652.55;711.33;702.33;852.21;842.13;863.08;872.03;890.90;946.16;977.86;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Straža";714.32;718.57;743.48;1078.81;875.18;879.40;882.75;882.84;890.33;872.24;885.79;919.28;943.22;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Sveta Ana";1003.12;1012.78;1028.72;992.25;966.82;934.69;869.95;941.60;950.15;960.31;982.16;1024.91;1052.03;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Sveta Trojica v Slov. goricah";844.57;880.28;891.64;887.66;912.00;942.83;883.45;858.20;868.23;892.12;946.11;1004.71;1067.06;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Sveti Andraž v Slov. goricah";870.99;912.02;897.56;867.77;857.96;935.20;956.42;930.00;892.05;869.49;855.68;946.11;981.00;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Sveti Jurij ob Šèavnici";799.45;811.67;874.06;884.48;902.44;891.96;899.15;922.19;925.51;975.45;973.12;1013.20;1090.36;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Sveti Jurij v Slov. goricah";930.75;968.49;950.51;992.38;979.45;966.52;957.69;941.34;975.96;1012.10;1008.64;1062.82;1078.93;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Sveti Tomaž";1026.45;1052.42;1010.35;1002.24;981.78;963.87;962.90;960.01;992.20;967.83;972.31;1027.40;1107.74;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Šalovci";900.89;837.17;913.90;903.60;866.14;865.58;865.65;859.63;905.39;880.19;924.61;996.00;1062.05;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Šempeter - Vrtojba";890.02;922.20;988.38;995.64;1001.49;1013.94;1039.13;1035.99;1077.38;1102.55;1106.73;1151.42;1230.32;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Šenèur";878.79;915.27;961.42;987.36;1004.10;1001.62;992.78;1006.03;1014.19;1052.33;1110.64;1133.56;1228.80;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Šentilj";805.67;836.14;864.47;877.71;870.27;889.67;900.07;892.67;909.95;939.29;956.89;990.08;1093.87;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Šentjernej";777.31;780.78;871.41;930.27;942.66;985.97;992.39;1035.35;1050.57;1079.79;1117.75;1155.54;1217.78;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Šentjur";794.54;813.23;841.93;870.21;859.93;856.32;869.02;876.08;892.14;918.85;945.66;976.13;1043.21;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Šentrupert";908.54;969.99;974.97;987.20;974.52;975.12;1014.40;1001.96;1035.98;1051.72;1081.91;1136.11;1237.39;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Škocjan";850.55;882.51;811.70;864.22;917.77;929.52;950.58;968.94;971.89;995.53;988.67;1042.22;1107.67;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Škofja Loka";843.47;871.43;919.88;936.30;968.42;995.29;1028.90;1045.01;1055.94;1093.70;1123.68;1162.91;1212.94;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Škofljica";765.26;802.64;837.52;863.13;849.89;857.18;864.42;866.02;878.03;915.15;941.02;987.31;1075.70;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Šmarje pri Jelšah";793.42;829.44;841.50;850.54;843.31;848.78;866.04;889.84;908.02;926.08;979.95;1043.07;1160.35;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Šmarješke Toplice";838.17;869.50;934.17;917.67;900.24;926.77;930.83;933.18;954.21;953.21;973.44;1018.17;1062.89;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Šmartno ob Paki";777.08;788.26;820.02;836.09;820.71;818.90;822.01;826.76;837.89;887.06;937.76;974.02;1044.39;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Šmartno pri Litiji";728.81;735.16;777.31;799.96;805.61;810.30;804.39;809.86;814.20;835.82;862.60;904.16;980.02;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Šoštanj";964.51;987.59;1005.27;1044.68;1063.77;1093.48;1108.43;1075.62;1011.88;1017.91;1034.98;1076.54;1172.97;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Štore";892.38;839.67;928.23;967.92;967.65;990.55;1028.99;1061.00;1073.51;1160.50;1196.77;1177.18;1176.48;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Tabor";842.14;793.11;843.58;836.29;943.56;818.55;809.07;799.18;794.96;821.26;848.11;866.34;950.75;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Tišina";776.10;815.11;942.75;946.05;914.11;912.51;929.17;926.52;926.58;940.99;1005.82;1059.27;1087.53;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Tolmin";802.22;822.11;868.46;898.84;912.19;930.70;931.53;946.88;964.74;995.17;1015.86;1054.54;1127.79;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Trbovlje";957.63;992.36;1018.68;1041.66;1033.41;1028.84;1019.50;1014.57;1020.31;1046.76;1073.05;1094.38;1169.76;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Trebnje";853.86;868.65;902.08;920.60;896.52;911.11;925.14;930.33;950.51;970.34;999.97;1040.98;1101.52;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Trnovska vas";827.17;804.67;782.67;778.99;881.20;892.77;906.63;911.18;936.51;840.73;852.38;858.70;909.46;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Trzin";864.69;828.22;853.24;932.67;966.17;977.97;965.73;1000.36;1017.06;1051.85;1086.82;1123.40;1188.05;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Tržiè";745.40;781.30;831.00;858.58;861.66;874.78;874.39;881.48;899.64;922.00;948.18;972.81;1047.83;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Turnišèe";673.05;736.64;762.35;808.76;809.76;805.17;796.01;814.20;811.84;868.27;882.98;905.90;944.17;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Velenje";813.98;824.61;912.77;945.93;959.08;972.45;994.86;978.66;984.42;1012.02;1052.76;1064.65;1112.33;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Velika Polana";855.85;846.87;866.11;895.36;840.51;860.77;858.45;898.99;904.34;911.72;911.33;936.65;953.94;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Velike Lašèe";772.47;809.97;829.21;866.86;837.71;812.31;823.81;817.41;845.39;845.38;882.71;916.15;972.40;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Veržej";825.41;861.23;876.38;899.41;921.15;923.85;937.34;900.57;921.78;932.21;952.13;1009.41;1058.73;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Videm";827.33;817.36;841.07;818.99;808.74;813.91;827.79;812.23;821.65;839.73;858.14;883.54;998.22;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Vipava";821.65;860.51;882.29;897.44;890.03;916.54;940.45;930.08;925.79;956.69;986.54;1034.22;1085.77;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Vitanje";755.03;740.71;832.55;845.00;844.23;875.82;881.68;880.88;899.15;1006.24;1035.17;1069.60;1060.79;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Vodice";774.32;825.77;869.25;870.47;854.02;846.88;854.92;864.12;873.54;879.91;895.26;922.83;981.95;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Vojnik";813.06;863.23;872.35;890.01;889.33;890.95;887.60;882.00;890.38;912.52;932.71;980.67;1046.80;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Vransko";835.52;857.39;959.38;914.23;900.22;882.93;894.69;891.91;920.04;945.22;971.59;1006.41;1055.54;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Vrhnika";773.56;816.85;860.49;886.32;882.05;896.96;909.43;913.99;929.45;955.29;988.19;1027.06;1112.36;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Vuzenica";737.22;745.07;777.99;812.31;854.53;849.98;828.80;855.74;899.57;944.26;1061.10;1068.77;1107.53;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Zagorje ob Savi";800.31;825.21;861.40;882.38;845.17;871.61;873.29;872.01;891.49;929.29;959.28;996.63;1062.52;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Zavrè";842.53;881.87;840.42;784.12;815.70;769.91;737.92;771.97;815.37;1017.55;1116.32;1174.21;1233.27;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Zreèe";807.28;785.05;852.20;874.35;887.76;913.88;934.43;948.98;958.81;991.85;1029.63;1052.64;1065.34;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Žalec";819.19;834.17;870.05;888.19;887.67;890.36;891.89;906.51;914.57;940.22;971.99;1001.50;1091.42;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Železniki";780.94;766.97;808.93;842.18;840.17;892.77;942.54;954.39;982.69;1064.26;1071.07;1084.10;1164.51;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Žetale";861.03;877.93;922.34;923.58;930.99;909.26;901.21;928.99;944.36;947.10;991.87;1029.91;1040.50;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Žiri";809.67;771.24;812.57;846.92;866.19;885.43;914.22;931.57;935.21;959.61;994.45;1023.21;1056.10;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Žirovnica";880.13;881.24;907.11;933.34;958.83;990.55;961.66;963.12;994.11;1038.13;1075.69;1102.70;1143.79;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Žužemberk";753.22;778.59;818.01;851.58;837.25;854.39;865.64;882.77;886.12;912.50;947.74;991.52;1052.24;...
