"Izbrani podatki po obèinah, Slovenija, letno"

"MERITVE";"OBÈINE";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Dobrovnik/Dobronak";802.43;960.09;933.23;911.17;934.70;948.69;912.26;906.57;918.70;963.28;991.65;1023.10;1078.33;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Dol pri Ljubljani";1066.81;1032.91;1066.37;1119.90;1120.90;1075.58;1072.94;1052.50;1077.99;1107.38;1121.61;1182.76;1277.15;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Dolenjske Toplice";813.47;841.81;870.28;882.54;876.23;895.11;894.58;898.92;917.80;957.83;997.31;1043.58;1064.69;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Domžale";860.05;878.63;921.47;944.38;961.04;961.45;950.79;950.58;963.41;983.19;1020.48;1044.06;1111.13;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Dornava";827.92;900.91;889.97;873.81;882.92;882.93;899.92;926.56;963.59;999.88;1017.70;1062.44;1193.02;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Dravograd";823.71;828.34;866.30;872.06;876.78;895.61;907.73;905.98;938.52;972.71;992.99;1034.73;1086.40;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Duplek";776.56;810.92;825.41;826.18;834.44;835.63;839.22;836.10;862.52;869.76;870.05;915.14;983.32;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Gorenja vas - Poljane";847.89;865.22;925.86;941.49;946.61;946.20;968.87;977.52;1009.01;1034.08;1055.07;1100.39;1132.18;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Gorišnica";771.94;786.59;809.74;831.07;793.42;815.97;839.90;838.40;860.58;877.17;891.51;938.51;1030.24;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Gorje";805.45;830.96;870.86;888.16;899.06;899.15;891.11;890.62;907.81;937.37;989.14;1038.07;1096.26;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Gornja Radgona";784.94;814.89;851.58;856.57;870.23;887.92;919.28;937.70;950.50;966.11;1007.08;1041.16;1086.00;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Gornji Grad";750.66;777.55;806.27;814.05;820.54;849.17;857.59;868.22;885.75;881.14;917.32;943.04;1000.36;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Gornji Petrovci";598.09;714.99;754.28;761.43;779.79;781.88;780.89;778.20;769.48;769.55;777.63;833.05;950.67;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Grad";798.89;974.53;1014.56;1013.79;1014.17;1018.94;951.58;916.95;948.18;937.96;927.05;981.47;1056.66;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Grosuplje";875.73;883.08;915.68;926.97;921.62;914.85;924.75;942.78;942.63;957.64;981.98;1029.15;1085.65;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Hajdina";815.63;767.85;776.47;779.68;717.36;747.21;745.90;723.94;779.79;844.66;870.64;883.23;919.69;...
