"Polnoletni obsojenci (znani storilci) po: KAZNIVO DEJANJE, GLAVNA"
"KAZEN, SPOL , LETO"

" ";"10100 Zaporna kazen (skupaj)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10200 Denarna kazen";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10300 Sodni opomin";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10400 Kazen opušèena";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10600 Varnostni ukrep brez izreka kazni";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" "
" ";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013"
"4.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO";0;0;0;78;168;318;388;569;0;0;0;7;12;21;29;40;0;0;0;4;8;21;16;36;0;0;0;0;0;1;3;2;0;0;0;0;3;10;11;7;0;0;0;0;4;1;0;3;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;2;18;5;1;0;0;0;0;0;2;0;1
"4.XVI KAZNIVA DEJANJA ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE";0;0;0;122;393;447;554;396;0;0;0;13;30;39;57;54;0;0;0;6;25;39;48;50;0;0;0;2;1;2;0;5;0;0;0;0;25;28;27;20;0;0;0;0;8;6;6;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27;6;2;0;0;0;0;0;2;2;1
"4.XVIII KAZNIVA DEJANJA ZOPER ÈAST IN DOBRO IME";0;0;0;4;4;15;24;28;0;0;0;1;1;3;7;9;0;0;0;0;1;3;9;9;0;0;0;0;2;1;2;1;0;0;0;0;1;1;0;8;0;0;0;0;2;1;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"4.XIX KAZNIVA DEJANJA ZOPER SPOLNO NEDOTAKLJIVOST";0;0;0;3;10;30;52;111;0;0;0;0;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
